time,low,high,open,close,volume,sentiment
2024-05-17 00:47:00+00:00,161.46,161.59,161.57,161.49,894.92312474,0
2024-05-17 00:46:00+00:00,161.5,161.7,161.5,161.54,1286.01554456,0
2024-05-17 00:45:00+00:00,161.5,161.84,161.84,161.5,2146.5697506,-1
2024-05-17 00:44:00+00:00,161.81,161.98,161.85,161.83,760.621887,-1
2024-05-17 00:43:00+00:00,161.55,161.84,161.55,161.74,284.66501225,-1
2024-05-17 00:42:00+00:00,161.55,161.72,161.68,161.56,350.65954844,-1
2024-05-17 00:41:00+00:00,161.66,161.72,161.69,161.67,227.40737987,-1
2024-05-17 00:40:00+00:00,161.67,161.72,161.72,161.68,207.73768234,-1
2024-05-17 00:39:00+00:00,161.64,161.83,161.81,161.7,230.25824776,-1
2024-05-17 00:38:00+00:00,161.45,161.85,161.45,161.79,183.43076832,-1
2024-05-17 00:37:00+00:00,161.44,161.66,161.66,161.45,276.86589396,-1
2024-05-17 00:36:00+00:00,161.68,161.81,161.76,161.68,602.78458962,-1
2024-05-17 00:35:00+00:00,161.65,161.9,161.69,161.76,983.12796741,0
2024-05-17 00:34:00+00:00,161.36,161.72,161.4,161.7,682.76807446,0
2024-05-17 00:33:00+00:00,161.27,161.58,161.56,161.4,158.86636267,0
2024-05-17 00:32:00+00:00,161.51,161.82,161.58,161.6,1131.28895315,0
2024-05-17 00:31:00+00:00,160.94,161.58,160.94,161.54,493.85091055,0
2024-05-17 00:30:00+00:00,160.9,161.03,161.03,160.94,319.0230792,0
2024-05-17 00:29:00+00:00,160.96,161.07,160.96,161.02,580.78664105,0
2024-05-17 00:28:00+00:00,160.88,160.96,160.88,160.95,202.45843322,0
2024-05-17 00:27:00+00:00,160.88,161.02,160.96,160.88,642.70998694,0
2024-05-17 00:26:00+00:00,160.87,161.01,161.01,160.94,766.47063434,0
2024-05-17 00:25:00+00:00,160.72,161.0,160.73,161.0,887.93593288,0
2024-05-17 00:24:00+00:00,160.63,160.73,160.68,160.73,209.7850442,0
2024-05-17 00:23:00+00:00,160.6,160.7,160.63,160.69,292.89436856,0
2024-05-17 00:22:00+00:00,160.6,160.81,160.81,160.65,218.35306994,0
2024-05-17 00:21:00+00:00,160.71,160.9,160.87,160.8,208.05731567,0
2024-05-17 00:20:00+00:00,160.81,160.89,160.85,160.87,271.29808003,0
2024-05-17 00:19:00+00:00,160.85,161.1,161.0,160.85,490.57863926,0
2024-05-17 00:18:00+00:00,160.64,161.05,160.64,161.0,934.58075548,0
2024-05-17 00:17:00+00:00,160.43,160.71,160.43,160.66,875.34072297,0
2024-05-17 00:16:00+00:00,160.35,160.52,160.39,160.39,767.32349195,0
2024-05-17 00:15:00+00:00,160.15,160.42,160.28,160.38,238.71696957,0
2024-05-17 00:14:00+00:00,160.12,160.28,160.23,160.28,145.59624905,0
2024-05-17 00:13:00+00:00,160.07,160.27,160.09,160.25,1929.08922103,0
2024-05-17 00:12:00+00:00,160.02,160.09,160.02,160.09,84.6280285,0
2024-05-17 00:11:00+00:00,159.97,160.09,159.97,160.06,547.09027824,0
2024-05-17 00:10:00+00:00,159.92,160.0,159.96,159.94,216.73933217,0
2024-05-17 00:09:00+00:00,159.94,159.99,159.96,159.96,117.36188149,0
2024-05-17 00:08:00+00:00,159.84,159.97,159.84,159.95,110.07819913,0
2024-05-17 00:07:00+00:00,159.72,159.9,159.79,159.85,925.7873078,0
2024-05-17 00:06:00+00:00,159.52,159.8,159.53,159.78,89.23544366,0
2024-05-17 00:05:00+00:00,159.34,159.51,159.42,159.5,69.01598438,0
2024-05-17 00:04:00+00:00,159.38,159.54,159.49,159.42,69.12389411,0
2024-05-17 00:03:00+00:00,159.44,159.69,159.44,159.53,163.12441179,0
2024-05-17 00:02:00+00:00,159.46,159.64,159.64,159.48,174.72876129,0
2024-05-17 00:01:00+00:00,159.52,159.73,159.54,159.67,455.23194821,0
2024-05-17 10:00:00+00:00,168.04,168.24,168.04,168.18,91.83850673,0
2024-05-17 09:59:00+00:00,167.97,168.05,167.98,168.04,113.78716017,0
2024-05-17 09:58:00+00:00,168.01,168.14,168.11,168.02,44.16521793,0
2024-05-17 09:57:00+00:00,167.94,168.25,167.99,168.15,72.54565491,0
2024-05-17 09:56:00+00:00,168.01,168.17,168.16,168.04,233.71430176,0
2024-05-17 09:55:00+00:00,168.01,168.17,168.07,168.14,98.07466044,0
2024-05-17 09:54:00+00:00,168.04,168.14,168.04,168.1,13.0253017,0
2024-05-17 09:53:00+00:00,167.95,168.18,167.99,168.01,156.74375299,0
2024-05-17 09:52:00+00:00,167.92,167.99,167.99,167.99,50.82402395,0
2024-05-17 09:51:00+00:00,167.95,168.04,168.01,168.0,107.80174675,0
2024-05-17 09:50:00+00:00,167.99,168.13,168.13,168.0,336.32575857,0
2024-05-17 09:49:00+00:00,168.0,168.15,168.0,168.13,53.60341213,0
2024-05-17 09:48:00+00:00,167.92,168.05,168.03,168.0,58.69607915,0
2024-05-17 09:47:00+00:00,168.08,168.19,168.13,168.08,130.10866311,0
2024-05-17 09:46:00+00:00,168.06,168.14,168.06,168.12,36.54081135,0
2024-05-17 09:45:00+00:00,167.89,168.08,167.92,168.05,1124.04182609,0
2024-05-17 09:44:00+00:00,167.9,168.07,167.94,167.97,126.07975157,0
2024-05-17 09:43:00+00:00,167.9,168.0,167.95,167.91,148.85235798,0
2024-05-17 09:42:00+00:00,167.92,168.08,168.08,167.94,688.56295849,0
2024-05-17 09:41:00+00:00,168.13,168.26,168.2,168.13,196.39497921,0
2024-05-17 09:40:00+00:00,167.96,168.21,167.97,168.21,538.39776168,0
2024-05-17 09:39:00+00:00,167.96,168.02,167.98,167.97,45.48629952,0
2024-05-17 09:38:00+00:00,168.0,168.1,168.1,168.0,188.97453903,0
2024-05-17 09:37:00+00:00,168.09,168.15,168.15,168.1,23.25072245,0
2024-05-17 09:36:00+00:00,168.11,168.3,168.11,168.14,277.82533416,0
2024-05-17 09:35:00+00:00,168.09,168.16,168.09,168.1,51.23322732,0
2024-05-17 09:34:00+00:00,168.04,168.28,168.28,168.08,166.94665432,0
2024-05-17 09:33:00+00:00,168.08,168.45,168.45,168.29,607.20366119,0
2024-05-17 09:32:00+00:00,168.35,168.49,168.35,168.44,51.21191757,0
2024-05-17 09:31:00+00:00,168.07,168.36,168.07,168.36,547.62914439,0
2024-05-17 09:30:00+00:00,168.03,168.39,168.35,168.08,1238.85797731,0
2024-05-17 09:29:00+00:00,168.15,168.34,168.19,168.34,261.7410295,0
2024-05-17 09:28:00+00:00,167.97,168.22,167.97,168.22,122.9803419,0
2024-05-17 09:27:00+00:00,167.98,168.31,168.31,168.0,217.60445978,0
2024-05-17 09:26:00+00:00,168.19,168.46,168.22,168.31,526.83855234,0
2024-05-17 09:25:00+00:00,168.04,168.22,168.07,168.22,82.08577327,0
2024-05-17 09:24:00+00:00,167.99,168.11,168.01,168.07,161.93542338,0
2024-05-17 09:23:00+00:00,167.82,168.02,167.82,167.99,344.54086321,0
2024-05-17 09:22:00+00:00,167.79,168.27,168.27,167.83,2953.00065914,0
2024-05-17 09:21:00+00:00,168.16,168.38,168.38,168.19,125.41115914,0
2024-05-17 09:20:00+00:00,168.32,168.44,168.43,168.32,223.93683526,0
2024-05-17 09:19:00+00:00,168.41,168.63,168.56,168.41,99.40212138,0
2024-05-17 09:18:00+00:00,168.56,168.78,168.76,168.56,181.29182739,0
2024-05-17 09:17:00+00:00,168.69,168.93,168.9,168.75,57.47718961,0
2024-05-17 09:16:00+00:00,168.73,169.12,169.12,168.87,72.37444517,0
2024-05-17 09:15:00+00:00,168.84,169.13,168.91,169.11,655.99313894,0
2024-05-17 09:14:00+00:00,168.83,169.12,169.11,168.91,151.72126415,0
2024-05-17 09:13:00+00:00,169.05,169.16,169.14,169.08,249.81342593,0
2024-05-17 09:12:00+00:00,168.81,169.15,168.88,169.1,526.97761014,0
2024-05-17 09:11:00+00:00,168.62,168.88,168.62,168.87,455.66876149,0
2024-05-17 09:10:00+00:00,168.46,168.66,168.49,168.63,1446.56515126,0
2024-05-17 09:09:00+00:00,168.37,168.58,168.45,168.48,2073.19200775,0
2024-05-17 09:08:00+00:00,168.05,168.42,168.11,168.42,133.67556934,0
2024-05-17 09:07:00+00:00,168.02,168.28,168.28,168.12,149.94725332,0
2024-05-17 09:06:00+00:00,168.15,168.3,168.15,168.29,25.95032109,0
2024-05-17 09:05:00+00:00,168.19,168.39,168.39,168.19,40.29410386,0
2024-05-17 09:04:00+00:00,168.23,168.5,168.23,168.38,115.71040934,0
2024-05-17 09:03:00+00:00,168.2,168.38,168.37,168.2,76.87315744,0
2024-05-17 09:02:00+00:00,168.46,168.6,168.56,168.54,119.31125088,0
2024-05-17 09:01:00+00:00,168.43,168.69,168.68,168.52,119.62905293,0
2024-05-17 09:00:00+00:00,168.38,168.7,168.38,168.68,187.03799429,0
2024-05-17 08:59:00+00:00,168.08,168.45,168.09,168.39,285.24900611,0
2024-05-17 08:58:00+00:00,167.89,168.1,167.91,168.1,170.03457236,0
2024-05-17 08:57:00+00:00,167.86,168.03,168.01,167.91,825.32587377,0
2024-05-17 08:56:00+00:00,168.0,168.15,168.15,168.04,293.2977419,0
2024-05-17 08:55:00+00:00,168.12,168.33,168.21,168.19,117.92449463,0
2024-05-17 08:54:00+00:00,168.1,168.29,168.1,168.22,307.23430707,0
2024-05-17 08:53:00+00:00,168.09,168.33,168.32,168.09,263.41452918,0
2024-05-17 08:52:00+00:00,168.33,168.47,168.4,168.35,78.37896547,0
2024-05-17 08:51:00+00:00,168.23,168.4,168.4,168.4,61.62916758,0
2024-05-17 08:50:00+00:00,168.39,168.64,168.61,168.39,466.61442433,0
2024-05-17 08:49:00+00:00,168.58,168.75,168.72,168.58,40.79911976,0
2024-05-17 08:48:00+00:00,168.62,168.73,168.62,168.69,61.42478713,0
2024-05-17 08:47:00+00:00,168.61,168.75,168.68,168.61,161.52642008,0
2024-05-17 08:46:00+00:00,168.52,168.78,168.52,168.65,115.88447585,0
2024-05-17 08:45:00+00:00,168.16,168.63,168.17,168.52,1103.5900729,0
2024-05-17 08:44:00+00:00,168.1,168.27,168.25,168.19,504.02046396,0
2024-05-17 08:43:00+00:00,168.2,168.4,168.36,168.25,716.03268948,0
2024-05-17 08:42:00+00:00,168.35,168.51,168.39,168.39,550.4290084,0
2024-05-17 08:41:00+00:00,168.38,168.49,168.47,168.4,122.94833228,0
2024-05-17 08:40:00+00:00,168.41,168.58,168.46,168.44,408.45846045,0
2024-05-17 08:39:00+00:00,168.33,168.47,168.47,168.38,333.57589229,0
2024-05-17 08:38:00+00:00,168.35,168.59,168.59,168.44,121.23034865,0
2024-05-17 08:37:00+00:00,168.57,168.76,168.75,168.6,540.73095677,0
2024-05-17 08:36:00+00:00,168.74,169.0,168.94,168.75,438.50796653,0
2024-05-17 08:35:00+00:00,168.92,169.07,169.04,168.95,715.89529691,-1
2024-05-17 08:34:00+00:00,169.03,169.24,169.2,169.03,267.11471216,-1
2024-05-17 08:33:00+00:00,169.16,169.41,169.18,169.2,309.02410008,-1
2024-05-17 08:32:00+00:00,169.04,169.24,169.1,169.19,262.53222538,-1
2024-05-17 08:31:00+00:00,168.77,169.17,168.79,169.12,353.60680378,-1
2024-05-17 08:30:00+00:00,168.71,169.03,169.03,168.82,601.45468193,-1
2024-05-17 08:29:00+00:00,169.0,169.47,169.38,169.04,417.91740925,-1
2024-05-17 08:28:00+00:00,169.36,169.53,169.53,169.38,559.90520897,-1
2024-05-17 08:27:00+00:00,169.42,169.63,169.43,169.52,101.55711957,-1
2024-05-17 08:26:00+00:00,169.33,169.54,169.45,169.43,1333.86433564,-1
2024-05-17 08:25:00+00:00,169.41,169.6,169.58,169.47,326.81580746,0
2024-05-17 08:24:00+00:00,169.6,169.91,169.84,169.61,601.69652883,0
2024-05-17 08:23:00+00:00,169.74,170.0,169.82,169.85,2040.72735387,0
2024-05-17 08:22:00+00:00,169.59,169.82,169.66,169.82,505.31243697,0
2024-05-17 08:21:00+00:00,169.51,169.75,169.6,169.63,166.78567313,0
2024-05-17 08:20:00+00:00,169.29,169.63,169.33,169.63,198.85138309,0
2024-05-17 08:19:00+00:00,169.25,169.42,169.36,169.34,342.81038023,0
2024-05-17 08:18:00+00:00,169.27,169.42,169.31,169.35,198.75456443,0
2024-05-17 08:17:00+00:00,169.18,169.39,169.28,169.32,632.81223768,0
2024-05-17 08:16:00+00:00,169.24,169.55,169.39,169.3,498.44521809,0
2024-05-17 08:15:00+00:00,169.25,169.43,169.4,169.35,154.25719601,0
2024-05-17 08:14:00+00:00,169.25,169.38,169.25,169.38,499.99538796,0
2024-05-17 08:13:00+00:00,169.19,169.4,169.25,169.2,156.41873289,0
2024-05-17 08:12:00+00:00,169.13,169.42,169.42,169.21,1308.05948024,0
2024-05-17 08:11:00+00:00,169.3,169.5,169.47,169.43,287.75898882,0
2024-05-17 08:10:00+00:00,168.95,169.48,169.02,169.46,851.76588461,0
2024-05-17 08:09:00+00:00,168.56,168.99,168.67,168.99,326.86135477,0
2024-05-17 08:08:00+00:00,168.68,168.87,168.7,168.69,301.42708712,0
2024-05-17 08:07:00+00:00,168.69,168.87,168.73,168.7,54.69903211,0
2024-05-17 08:06:00+00:00,168.7,169.09,169.07,168.7,287.59088445,0
2024-05-17 08:05:00+00:00,168.95,169.11,169.04,169.06,190.50736365,0
2024-05-17 08:04:00+00:00,169.01,169.2,169.02,169.07,373.03817481,0
2024-05-17 08:03:00+00:00,168.89,169.26,168.98,169.01,310.3955793,0
2024-05-17 08:02:00+00:00,168.87,169.26,169.25,168.97,265.4362993,0
2024-05-17 08:01:00+00:00,169.16,169.5,169.46,169.23,982.63948003,0
2024-05-17 08:00:00+00:00,169.29,169.77,169.3,169.5,2104.60032858,0
2024-05-17 07:59:00+00:00,169.19,169.43,169.24,169.26,4279.23336351,0
2024-05-17 07:58:00+00:00,169.24,169.59,169.52,169.26,487.39319202,0
2024-05-17 07:57:00+00:00,169.3,169.57,169.31,169.53,758.23965928,0
2024-05-17 07:56:00+00:00,169.08,169.55,169.09,169.32,2322.68185416,0
2024-05-17 07:55:00+00:00,168.95,169.12,169.02,169.07,105.74751903,0
2024-05-17 07:54:00+00:00,168.87,169.24,168.87,169.02,1195.85978342,0
2024-05-17 07:53:00+00:00,168.63,168.95,168.64,168.88,2084.45571903,0
2024-05-17 07:52:00+00:00,168.31,168.68,168.47,168.6,1769.10147431,0
2024-05-17 07:51:00+00:00,167.92,168.75,168.18,168.47,2688.72479067,0
2024-05-17 07:50:00+00:00,168.11,168.34,168.2,168.18,2102.80792195,0
2024-05-17 07:49:00+00:00,168.14,168.37,168.37,168.19,1301.26702473,0
2024-05-17 07:48:00+00:00,168.12,168.39,168.32,168.34,1514.64495954,0
2024-05-17 07:47:00+00:00,168.3,168.53,168.48,168.31,135.98558306,0
2024-05-17 07:46:00+00:00,168.34,168.65,168.34,168.48,722.66886361,0
2024-05-17 07:45:00+00:00,168.22,168.47,168.38,168.33,1150.52250063,0
2024-05-17 07:44:00+00:00,168.21,168.45,168.33,168.39,1094.39499207,0
2024-05-17 07:43:00+00:00,168.17,168.33,168.21,168.33,343.00105406,0
2024-05-17 07:42:00+00:00,168.11,168.33,168.33,168.25,315.98754631,0
2024-05-17 07:41:00+00:00,168.25,168.4,168.39,168.37,361.2580313,0
2024-05-17 07:40:00+00:00,168.35,168.57,168.52,168.42,313.77339924,0
2024-05-17 07:39:00+00:00,168.43,168.68,168.46,168.52,751.99286406,0
2024-05-17 07:38:00+00:00,168.45,169.01,169.01,168.45,421.08397246,0
2024-05-17 07:37:00+00:00,168.88,169.65,169.51,168.98,2440.12161986,0
2024-05-17 07:36:00+00:00,169.14,169.9,169.2,169.6,2924.77422258,0
