bOF_1,aOF_1,bOF_2,aOF_2,bOF_3,aOF_3,bOF_4,aOF_4,bOF_5,aOF_5,bOF_6,aOF_6,bOF_7,aOF_7,bOF_8,aOF_8,bOF_9,aOF_9,bOF_10,aOF_10,LABEL_TICK1,time
-0.58215501,0.67049844,-0.58442501,1.1174974,-1.1855812,0.06349723,-1.1855812,0.29727816,-1.34641374,0.16176792,-16.179246,0.51578867,-0.00048519,0.13194781,-1.45825778,0.6495919,-0.20681263,0.85088868,-0.55828,0.56879123,0.0,2024-05-17 19:45:51
0.02524609,-0.0359925,0.0,-0.5,0.59648244,0.12281359,0.8089221,0.19086798,-0.391,0.36353714,1.30114121,0.391,3.23583935,0.87660191,1.1855812,0.06349723,1.1855812,0.29727816,0.00048519,1.46100319,-1.0,2024-05-17 19:45:54
-0.88301693,0.09706115,0.0,0.07237691,0.23294857,0.0359925,0.16176844,0.05859446,0.75453714,1.94106798,0.8089221,0.5,0.94878114,0.12281359,1.30114121,3.26946411,3.23583935,0.36353714,1.1855812,0.06349723,0.0,2024-05-17 19:45:57
0.09706382,0.13772802,0.6775699,0.48529781,0.01683073,0.80882958,0.58442501,0.28800307,-0.391,0.391,-0.94878114,0.39952964,-0.36353714,1.94106798,0.80894008,0.5,0.23295433,0.12281359,1.30114121,3.23511323,-1.0,2024-05-17 19:46:00
-0.00048519,0.66048,-0.19415088,0.00559883,-1.73658169,0.0970766,-0.391,0.09707597,-0.80902805,0.06161407,-0.23297992,0.01866851,-0.16179381,0.04706575,-3.23624539,1.34754393,-1.0,0.57039916,-1.56511987,0.391,0.0,2024-05-17 19:46:04
0.01139084,0.62111,-0.09708009,0.09708009,-0.09707981,0.80895719,-1.2718319,0.36353714,-0.391,-0.01866851,-0.80905723,-0.43806575,-0.16179818,-1.86872321,-0.36353714,-3.23563937,0.23299059,-0.20508209,1.28555231,-0.19883125,0.0,2024-05-17 19:46:06
0.69774205,0.05119957999999991,0.95582025,-0.80895719,0.19415434,-0.09707717,0.2329852,0.0,1.2718319,0.09707717,0.0,0.391,0.0,0.01866851,0.0,0.04706575,-1.28555231,1.86872321,-3.23637082,3.23563937,1.0,2024-05-17 19:46:09
0.19414932,-0.005,0.71706397,-0.58296921,0.16178232,-0.5,0.23297918,-0.09707466,0.95582025,-0.36353714,0.80901961,-0.80890875,0.36353714,-0.09707466,1.53425193,-0.01214489,1.2718319,-1.94130222,3.23625224,-3.23550369,0.0,2024-05-17 19:46:12
-0.01020003,0.09707623,-0.65749452,0.09707633,-0.38848448,0.50146656,0.65754982,-0.36353714,0.67758996,-0.80890427,0.70238754,-0.391,0.53936551,-1.94130222,1.76483342,-3.23550369,0.16178948,-0.16179132,0.391,-2.45349576,0.0,2024-05-17 19:46:16
0.0005840999999999989,-0.50567338,0.41612389,-0.36353714,0.46849877,-0.80890427,0.55281411,-0.391,0.88626413,-1.94130222,0.65749452,-3.23550369,-0.53070232,-0.16179132,0.0,-2.45349576,-1.54449732,-1.955,-3.23613575,-1.36178182,0.0,2024-05-17 19:46:18
0.717576,0.08482506,-0.09707681,0.42821,-0.48807681,0.36353714,-1.76483342,0.54359539,-0.23297966,0.19414975,-9.70795744,0.80891672,-0.16179371,0.391,-1.2718319,0.5,-0.36353714,0.16179469,-6.47182169,1.94130222,0.0,2024-05-17 19:46:21
0.22074711,-0.2050878,0.00688488,-0.36353714,0.59535138,-0.80889968,0.16178223,-0.5,1.29017096,-1.94130222,0.16210398,-3.23550369,0.95582025,-0.5,9.70795744,-1.47209747,1.2718319,-2.45349576,0.36353714,-1.09705256,-1.0,2024-05-17 19:46:24
-0.19415224,1.16133074,-0.0039072,0.0,-0.04225701,0.09707612,-0.95582025,0.8824311,-0.80901839,0.5,-0.23298251,0.80891872,-3.23613575,0.16179973,-1.2718319,1.45835903,-0.36353714,1.94130222,-0.16179998,3.23550369,0.0,2024-05-17 19:46:27
-0.74421956,0.04757199,-0.04225701,1.10004813,-0.0970791,0.49286523,0.0,0.25160014,-0.80903251,0.15368178,-1.2718319,0.13839586,-0.23298878,0.5,-3.59979782,0.09707855,-0.16179998,0.09707764,-0.46720485,0.80894077,1.0,2024-05-17 19:46:31
0.09070040000000001,-0.40654478,0.0,-0.5,-0.95582025,-0.19415496,-0.23298596,-1.19994077,0.391,-0.60189718,0.80903251,-0.36353714,1.2718319,-0.16179973,0.0,-1.94137125,0.0,-3.23561863,0.0,-1.45835903,0.0,2024-05-17 19:46:34
-0.09317028000000005,0.88515196,0.0,0.36353714000000004,0.09707753,0.97075874,0.95582025,0.09707748,-0.391,0.0,-0.80904531,-1.94137125,0.0,-3.23561863,0.23298602,-1.45835903,3.23626068,-0.83491453,0.0,-0.5,0.0,2024-05-17 19:46:37
-0.10460404000000001,0.06544423,0.0,1.23893962,1.2100000000014877e-06,0.80897038,0.0,0.86353714,-0.29392164,0.19415748,-0.41804531,2.03852151,0.0,0.60189718,-0.23298897,3.3975358,-0.80907612,1.45835903,0.0,0.26888,-1.0,2024-05-17 19:46:39
-0.96631936,0.5,-0.80910095,0.43078996,-0.16180975,0.48540124,-3.23654355,0.80900196,-0.36353714,0.36714685,-1.38729205,4.234956,-0.54132146,4.23773136,-1.1855812,0.16180661,-1.1855812,0.60189718,-1.0,0.1262207,0.0,2024-05-17 19:46:42
0.55326719,1.03101252,0.96631936,0.40907908,0.09708816,0.4048133,0.09708816,0.3619902,1.30926223,0.40732396,0.16181168,1.15019973,0.80913517,0.80903369,0.23301061,0.36353714,0.36353714,0.09708816,3.23668139,0.5,0.0,2024-05-17 19:46:45
-0.17404478,0.11316999,-0.95146409,0.22361701,-0.09708859,0.1139421,-0.09708855,1.89990813,-0.8091244,0.36353714,0.16181047,1.70945,-0.23301337,0.09708855,-3.23668139,0.80903369,-0.36353714,4.299999999957116e-07,-1.1855812,0.0,0.0,2024-05-17 19:46:48
0.0,0.70296624,0.0,-0.891,0.09708906,-1.98619347,0.23301348,-1.70945,0.0,-0.99497721,-1.30267057,-0.09708906,-0.16181742,-0.80903369,0.0,-0.09708895,1.1855812,-2.10341365,1.1855812,-3.23599414,0.0,2024-05-17 19:46:52
0.0,-0.58711054,0.0,-1.98619347,0.09708911,-1.70945,0.09708911,-0.09708911,0.96884748,0.0,0.391,-0.80903369,0.8091244,-0.09708832,0.16181368,1.29192609,0.23301386,1.61715005,3.23668139,1.94159649,0.0,2024-05-17 19:46:54
0.0,-2.07608371,0.0,-1.70945,-0.19417632,-0.99497721,-0.96884748,-0.09708816,-0.62401197,-0.80903369,-0.8091244,-0.09708816,-1.26448237,-1.29192609,0.0,-1.61715005,-1.1855812,-1.94159649,1.1855812,-3.23599414,0.0,2024-05-17 19:46:57
